Category,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,isExpandable
Long term Borrowings,13850,15820,17993,20629,19883,26181,32936,39691,46517,37663,35831,50424.0,0.0
Short term Borrowings,1306,3633,3262,773,6546,2157,940,6061,4001,8616,9979,4679.0,0.0
Lease Liabilities,0,0,0,0,0,0,748,2016,2749,3024,5644,8296.0,0.0
Preference Capital,3,0,0,258,266,264,272,282,292,304,316,0.0,0.0
Other Borrowings,2618,2889,959,710,1017,1640,960,-115,-126,-137,-149,0.0,0.0
Non controlling int,159,124,139,150,210,220,1465,393,1361,1598,2538,2856.0,0.0
Trade Payables,362,403,456,490,572,729,1014,1160,2296,1912,2720,2736.0,0.0
Advance from Customers,155,111,328,80,81,743,728,883,884,885,753,0.0,0.0
Other liability items,2865,1899,2706,3240,3364,4526,5078,6136,9198,10355,13541,20198.0,0.0
Inventories,259,212,657,520,807,288,992,396,452,438,522,685.0,0.0
Trade receivables,1288,2436,2693,4310,2790,3202,2926,2521,3957,3667,4432,6383.0,0.0
Cash Equivalents,634,1278,1977,2968,5967,7314,4701,10667,4334,7632,6606,8484.0,0.0
Loans n Advances,2206,1581,1840,1518,1447,2022,1231,1346,295,274,251,7220.0,0.0
Other asset items,5632,9482,9474,9623,11913,11982,10508,13662,17233,14616,15650,12753.0,0.0
